composer_name	nationality	birth	death
Charles Hubert Hastings Parry	Spanish	1848	1918
Sergey Yevseyev	Russian	1894	1956
Jean Sibelius	Finnish	1865	1957
Ignacy Jan Paderewski	Polish	1860	1911
Alexander Utendal	Belgian	1540	1581
Stefano Golinelli	Italian	1818	1891
Charles Tournemire	French	1870	1939
Charles Samuel Bovy-Lysberg	Swiss	1821	1873
Jeffrey Michael Harrington	unknown	1955	-
Aleksandr Tinyakov	Spanish	1886	1934
Carl Richter Nicolai	German	1810	1849
Emilie Mayer	German	1812	1883
Levon Martirosyan	unknown	unknown	unknown
Carlos Gomes	Brazilian	1836	1896
Franz Behr	German	1837	1898
Charles John	British	1712	1786
Léon Delahaye	French	1844	1896
Paul Wachs	French	1851	1915
Carl Gottlieb Reissiger	German	1798	1859
Philippe Joseph Hinner	German	1755	1784
Alberto Williams	Irish	1862	1952
Christian Hien	unknown	unknown	unknown
Euday L. Bowman	American	1887	1949
Karl L. Hoschna	Bohemian	1877	1911
Jean-Baptiste Feyzeau	French	1745	1806
Alexandre-Pierre-François Boëly	French	1785	1858
Roger Quilter	British	1877	1953
Viktor Kosenko	Ukrainian	1896	1938
Johann Anton André	German	1775	1842
Alfred Kastner	Austrian	1870	1948
Jacob Schmitt	German	1803	1853
Hugo Reinhold	Austrian	1854	1935
Roger Ellman	unknown	1932	unknown
Hughe Woolford	unknown	unknown	unknown
Pedro Humberto Allende	Chilean	1885	1959
Tomás Luis de Victoria	Spanish	1548	1611
Mrs. Crosby Adams	unknown	unknown	unknown
Charles C. Bertholdt	unknown	unknown	unknown
Ramin Habibzadeh Aydenlou	unknown	unknown	unknown
Peter Benoit	Belgian	1834	1901
Angelina Kolb Ayala	unknown	unknown	unknown
Adrián Antonio Cuello Piraquibis	Colombian	1975	-
Eugene W. Baylor	American	1833	1918
Gaetano Amadeo	Italian	1824	1893
Julius Beck	German	1852	1920
Miron Levin	unknown	1879	1965
Leopoldo Miguez	Brazilian	1850	1902
Béla Kéler	German	1820	1882
Wincenty Kruziński	Polish	1840	1928
Winslow Lewis Hayden	unknown	1839	1886
Bernd Van Hulle	unknown	1832	1898
Edgar Barratt	British	1877	1928
Lucien Chevaillier	French	1883	1932
Waddington Cooke	British	1616	1672
Percy Eastman Fletcher	British	1879	1932
Albéric Magnard	French	1865	1914
Henry Blount	unknown	unknown	unknown
François Le Cocq	French	1685	1729
Oskar Merikanto	Finnish	1868	1924
Kees Schoonenbeek	Dutch	1947	unknown
Pierre Dandrieu	French	1664	1733
Giacomo Puccini	Italian	1858	1924
Constant Lambert	British	1905	1951
Franz Morten	American	1943	unknown
Tui St. George Tucker	American	1924	2004
Paolo Ugoletti	Italian	1956	-
Domenico Zipoli	Italian	1688	1726
Brian Stenger Poulsen	unknown	unknown	unknown
Charles Ancliffe	Irish	1880	1952
Boris Goltz	Russian	1913	1942
Andrea Turchetto	American	1972	-
Giuseppe Verdi	Italian	1813	1901
Carl Philipp Emanuel Bach	German	1714	1788
Francis Thomé	French	1850	1909
